fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 131057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.169664147019503	0.481609219573438	1774	520	0.0408006420029172	9042000	1
20220521 131116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.0957776807424379	0.955905296383426	3672	643	0.0268343506705908	11857000	2
20220521 131132	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.185243558907881	0.643981572678313	2636	823	0.0313019191244772	10957000	3
20220521 131148	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.157832347507705	0.305529836323112	5482	432	0.0373826275080016	10477000	4
20220521 131220	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	0.0653981569663156	0.724497425919399	4192	718	0.023017924890155	12717000	5
20220521 131238	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	63	TRUE	0.10564531692164	0.692201795680448	7047	407	0.0494636804549373	7534000	6
20220521 131254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.274884178636479	0.527461514389142	3271	42	0.0198801750394826	12042000	7
20220521 131324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.148516867771395	0.22611770324409	691	728	0.02799965517479	9919000	8
20220521 131356	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	6	TRUE	0.254977868330083	0.5896021584142	322	342	0.0343424415730018	6888000	9
20220521 131540	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	345	TRUE	0.0162924240452703	0.628274165000767	7288	524	0.0149781098691165	13238000	10
20220521 131607	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.238836721583735	0.788749627387151	6396	811	0.00878811281290837	11283000	11
20220521 131645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.11632534011174	0.820285053048283	4992	219	0.0306210996141696	11418000	12
20220521 131717	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.129208551356453	0.279593881675974	5637	150	0.0133262709840589	12647000	13
20220521 131732	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.21064154529653	0.398928059265018	3080	952	0.0444412010421123	8909000	14
20220521 131819	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0491742083641002	0.88306680880487	2066	1007	0.0112735727224693	12905000	15
20220521 131836	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.285611808916554	0.420207212166861	4473	67	0.0475800218007256	8360000	16
20220521 131908	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.0729776381946867	0.871651644650847	6511	905	0.0437354291245962	8524000	17
20220521 131924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	11	TRUE	0.223206691156956	0.963082350604236	1207	176	0.0183928405264548	11289000	18
20220521 131937	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.26712985932047	0.344125520065427	7775	615	0.0229086908870765	12096000	19
20220521 132056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	0.034126012095483	0.474170783841983	978	311	0.0392481365682518	9430000	20
20220521 132303	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	332	TRUE	0.0139038535008731	0.605595113543144	4606	487	0.0163123345861374	13692000	21
20220521 132541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	603	TRUE	0.0110829650480815	0.702210594049976	5713	231	0.0186537674895579	13264000	22
20220521 132840	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	526	TRUE	0.0101928057575722	0.42985719627614	4056	866	0.0156593004749258	13712000	23
20220521 133215	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	338	TRUE	0.0105451274725465	0.41116740261927	3119	596	0.0156976724145912	13641000	24
20220521 172845	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	518	TRUE	0.0102863307874335	0.680791696787196	3570	1017	0.0169491410444785	13733000	25
20220521 173145	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	708	TRUE	0.010295482244251	0.719075697520699	3487	805	0.015990843507373	13574000	26
20220521 173545	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	710	TRUE	0.0100489534731296	0.45761782390126	2884	1024	0.0170173243602071	13665000	27
20220521 173854	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	628	TRUE	0.0100381396065094	0.39020532972289	5409	1024	0.0175155837690671	13705000	28
20220521 174139	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	584	TRUE	0.010041203632883	0.250929560724509	5011	559	0.0175548667954833	13412000	29
20220521 174221	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	88	TRUE	0.0514074157962838	0.532620060067113	4368	1024	0.0165467161487572	13420000	30
20220521 174630	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	840	TRUE	0.010015360657437	0.568411986279294	3724	232	0.0138776316172358	13443000	31
20220521 174932	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	572	TRUE	0.010035585837705	0.58911801303297	5267	1000	0.0149900832546777	13438000	32
20220521 175310	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	659	TRUE	0.010016601660379	0.474823940801572	3986	499	0.0171742474646799	13761000	33
20220521 175640	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	762	TRUE	0.0100874029861075	0.395595376455005	7970	1017	0.0196135521724827	13024000	34
20220521 175935	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	434	TRUE	0.0101246368194675	0.437295625304953	3898	1004	0.0181715553381553	13633000	35
20220521 180122	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.0102728500219535	0.400623073393692	3242	483	0.00833667403615534	11645000	36
20220521 180421	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	483	TRUE	0.0101370140694314	0.436713213604235	4071	36	0.0163788475656857	13782000	37
20220521 180711	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	405	TRUE	0.010014912019876	0.445249050358923	4018	252	0.0162346394466287	13723000	38
20220521 181029	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	616	TRUE	0.0103486632588585	0.442124664400915	6121	1023	0.0283246528756202	11761000	39
20220521 181251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	595	TRUE	0.0101536179107662	0.461960620771896	796	19	0.0152096652853868	13439000	40
